,label,sentence,len_sentence
37,0,"Three girls blow out the candles of a cake made of Peeps. Based on that information, is the claim Some people are blowing out candles ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
38,1,"A crowd of people looking up at 3 people on the edge of the roof of a building. Based on that information, is the claim The crowd is calling for help for the people on the roof. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",56
39,1,"A woman working long hours. Based on that information, is the claim A woman is working in a factory. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",38
40,2,"Two teenage girls conversing next to lockers. Based on that information, is the claim Girls talking next to the toilet. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
41,1,"An old woman watches a man look down at some balls on the ground. Based on that information, is the claim An elderly female is stalking a male. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",47
42,1,"Two children, both wearing tan coats, are embracing one another. Based on that information, is the claim Two kids are hugging after surviving a horrible car wreck. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",48
43,1,"2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. Based on that information, is the claim A couple of child relatives were hugging because they were happy to see each other. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",60
44,2,"A large number of people wearing only white and red are walking on a street. Based on that information, is the claim A large number of people wearing black walking down the street. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
45,1,"A guy riding a motorcycle near junk cars Based on that information, is the claim The man is test driving a motorcycle to decide whether or not he will buy it. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",49
46,0,"Women of India performing with blue streamers, in beautiful blue costumes. Based on that information, is the claim indian women perform together in gorgeous costumes ""Entailment"", ""Contradiction"", or ""Inconclusive""?",46
47,0,"A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. Based on that information, is the claim A person is swimming. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
48,1,"The man in the black wetsuit is walking out of the water. Based on that information, is the claim A man in a wetsuit walks out of the water carrying a surfboard. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",56
49,1,"Five girls and two guys are crossing a overpass. Based on that information, is the claim The extended family hike together on their family reunion. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
50,1,"A person with a purple shirt is painting an image of a woman on a white wall. Based on that information, is the claim A woman paints a portrait of her best friend. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
51,0,"A woman is painting a mural of a woman's face. Based on that information, is the claim There is a woman painting. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
52,2,"A couple is eating outside at a table and he is pointing at something. Based on that information, is the claim A couple is eating inside at a table and he is pointing at something. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",54
53,1,"Two women walk down a sidewalk along a busy street in a downtown area. Based on that information, is the claim The women were walking downtown because the buses were on strike ""Entailment"", ""Contradiction"", or ""Inconclusive""?",50
54,1,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."" Based on that information, is the claim The people are having a chat before going into the work building. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",66
55,1,"The flight attendant dressed in yellow demonstrates life vest usage. Based on that information, is the claim A flight attendant is standing in front of passengers. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
56,0,"The girls walk down the street. Based on that information, is the claim Girls walk down the street. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",37
57,2,"A man wearing a red uniform and helmet stands on his motorbike. Based on that information, is the claim a man sitting in a car. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
58,0,"A man of the cloth puts a black substance on a man's forehead. Based on that information, is the claim The man puts something on the other mans head. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",49
59,0,"A person rolls down a hill riding a wagon as another watches. Based on that information, is the claim Two people are outside. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
60,1,"a boy holding onto the wall of an old brick house's raised foundation. Based on that information, is the claim a boy holding onto the wall of an old brick house's raised foundation as construction occurs ""Entailment"", ""Contradiction"", or ""Inconclusive""?",56
61,1,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall. Based on that information, is the claim Bruce Springsteen is from Florida. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
62,1,"Six dogs swimming in a river. Based on that information, is the claim Six dogs swim across the river. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",38
63,2,"A man and woman are taking a picture of themselves while a woman in a scarf walks by them. Based on that information, is the claim A man and woman have mug shots taken because they have been arrested. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",58
64,0,"a group of people dancing together. Based on that information, is the claim People are dancing. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",35
65,0,"Men wearing blue uniforms sit on a bus. Based on that information, is the claim Men sit on the bus. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",39
66,0,"Two men climbing on a wooden scaffold. Based on that information, is the claim Two people climbing on a wooden scaffold. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
67,-1,"A bird is flapping its wings on the water. Based on that information, is the claim The bird is floating on the water. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",43
68,0,"A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air. Based on that information, is the claim A young boy is playing in a feild. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",59
69,1,"Six or seven people are standing on a pier with a table and a pair of glasses in the foreground. Based on that information, is the claim They are going fishing. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",50
70,0,"A person in a red shirt and black pants hunched over. Based on that information, is the claim A person wears a red shirt. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
71,2,"This child is on the library steps. Based on that information, is the claim The child is on the school steps. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",40
72,2,"The tattooed basketball player is about to dunk the ball. Based on that information, is the claim The man is playing football.. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
73,0,"a boy in a red hooded top is smiling whilst looking away from his reflection. Based on that information, is the claim A boy in a red hood is happy. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",50
74,0,"A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt. Based on that information, is the claim the man is wearing a gray cap. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",58
75,1,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. Based on that information, is the claim An old woman has a light jean jacket. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",61
76,0,"A newlywed couple laughing and talking amongst themselves. Based on that information, is the claim The couple is having fun. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",40
77,2,"A black man in a long sleeves white collared shirt and a tie is walking to work in a big city. Based on that information, is the claim The man is wearing shorts and a t-shirt as he jogs. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",62
78,1,"Several younger people sitting in front of a statue. Based on that information, is the claim several young people sitting outside ""Entailment"", ""Contradiction"", or ""Inconclusive""?",39
79,1,"A group of adults stands in the bathroom looking down a small child in the bath. Based on that information, is the claim The childs mom is watching her son with her friends. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",53
80,0,"A goofy looking woman is singing on stage. Based on that information, is the claim A woman is singing. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",38
81,2,"The girl wearing a brown jacket whilst walking in snow. Based on that information, is the claim A woman is eating pasta in a restaurant. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
82,0,"A man, woman, and child get their picture taken in front of the mountains. Based on that information, is the claim A family on vacation is posing. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",48
83,0,"people are standing near water with a boat heading their direction Based on that information, is the claim The people are standing. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",40
84,1,"Four adults eat while sitting on a tile floor. Based on that information, is the claim Two couples eat food on a kitchen floor. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",43
85,2,"A dog standing near snow looking at water. Based on that information, is the claim A cat is laying on the couch. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
86,1,"An older man leans against a pedestal outside of an ornate building. Based on that information, is the claim An older man is leaning outside his nursing home ""Entailment"", ""Contradiction"", or ""Inconclusive""?",48
87,2,"A person in orange clothing rests above a metro entrance. Based on that information, is the claim A person is sitting at a baseball game. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
88,1,"A girl in a blue dress takes off her shoes and eats blue cotton candy. Based on that information, is the claim The girl is eating blue cotton candy at a carnival. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
89,2,"A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement. Based on that information, is the claim the man is asian ""Entailment"", ""Contradiction"", or ""Inconclusive""?",49
90,2,"A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on. Based on that information, is the claim A man is making a sandwich while a crowd gasps in awe. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",59
91,0,"A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons. Based on that information, is the claim A group of people are standing outside. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",57
92,0,"A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag. Based on that information, is the claim A woman on a bike. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",48
93,0,"A skateboarding youth does a trick on a rail. Based on that information, is the claim A young person on a skateboard. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",43
94,1,"A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him. Based on that information, is the claim He is wearing a button-up shirt. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",59
95,1,"Girl in a red coat, blue head wrap and jeans is making a snow angel. Based on that information, is the claim A girl in a red coat makes a snow angel for the first time. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",56
96,2,"A group of people gathered at night watching an event. Based on that information, is the claim The group of friends are asleep. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
97,0,"The American footballer in yellow catches the ball whilst under pressure from the payer in white. Based on that information, is the claim The football player is under duress. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",50
98,1,"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd. Based on that information, is the claim A person is enjoying a sporting event. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
99,2,"A girl holding a beverage points at a painting. Based on that information, is the claim The girl is in the bathtub ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
100,1,"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag. Based on that information, is the claim A man in a black shirt, in a commercial kitchen, holding up the old meat he took out of a bag. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",70
101,2,"A person in a red shirt is mowing the grass with a green riding mower. Based on that information, is the claim A person in red is swimming in the Olympics. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
102,0,"Group of people wearing black shirts riding in an open top vehicle. Based on that information, is the claim A group of people go down the road in a convertible. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",49
103,1,"Two men prepare a fish at a dock. Based on that information, is the claim Two men have just come in from fishing all day ""Entailment"", ""Contradiction"", or ""Inconclusive""?",43
104,1,"A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror. Based on that information, is the claim The woman is a model. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
105,2,"A man in an Alaska sweatshirt stands behind a counter. Based on that information, is the claim The man is wearing a tank top. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
106,2,"A large group of people walking in a busy city at night. Based on that information, is the claim People are eating lunch in a restaurant. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
107,0,"A woman, in red and white, and wearing glasses, sits in a room with other people. Based on that information, is the claim A woman is sitting in a room with other people. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",55
108,1,"A softball player throws the ball to her teammate. Based on that information, is the claim Teammates are competing in a softballs championship. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
109,0,"A biker races. Based on that information, is the claim A person is riding a bike ""Entailment"", ""Contradiction"", or ""Inconclusive""?",35
110,0,"Two little boys are smiling and laughing while one is standing and one is in a bouncy seat. Based on that information, is the claim There are two little boys smiling. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",51
111,1,"Island native fishermen reeling in their nets after a long day's work. Based on that information, is the claim The men caught many fish. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
112,1,"These are young adults who seem to be working together to protect the plants surrounding the white pole. Based on that information, is the claim The plants are ferns ""Entailment"", ""Contradiction"", or ""Inconclusive""?",49
113,1,"Two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback. Based on that information, is the claim Two teams from rival colleges are in the fourth quarter of a game. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",77
114,1,"Two people are playing American Football and one of them is trying to stop the other from throwing the ball. Based on that information, is the claim A lineman is trying to tackle the quarterback before he makes the game winning touchdown. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",61
115,1,"A man playing billiards at a bar. Based on that information, is the claim A man is playing with friends. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
116,1,"A golden dog passes a blue ball to another golden dog on the beach. Based on that information, is the claim The dogs are friends. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
117,1,"People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall. Based on that information, is the claim The people are going up on the escalator. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",58
118,1,"A woman is weaving with a comb in her hand. Based on that information, is the claim A woman is at work. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
119,1,"A boy is riding down the road between two cows. Based on that information, is the claim A boy rides a horse by two cows. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
120,1,"A birthday party for many little people to enjoy. Based on that information, is the claim Children enjoying a birthday party. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",40
121,0,"There are five singers on a stage, three women and two men. Based on that information, is the claim There are more females than males. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
122,2,"Two men are standing in a boat. Based on that information, is the claim Some men are standing on top of a car. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
123,0,"Young woman is putting her clothes in the dryer portion of a double stacked washer and dryer unit. Based on that information, is the claim A person drying clothes ""Entailment"", ""Contradiction"", or ""Inconclusive""?",50
124,2,"The sun breaks through the trees as a child rides a swing. Based on that information, is the claim The child is riding a swing in the rain. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",47
125,0,"Everyone on the street in the city seem to be busy doing their own thing. Based on that information, is the claim People are milling about the city street. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",49
126,0,"A man in an apron smiles as he pokes a frying donut with a little metal stick. Based on that information, is the claim The man is cooking food. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",51
127,0,"A woman in tennis clothes running to hit a ball with her tennis racket. Based on that information, is the claim A woman plays tennis. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
128,0,"Several women are playing volleyball. Based on that information, is the claim They women are hitting a ball with their arms ""Entailment"", ""Contradiction"", or ""Inconclusive""?",39
129,0,"Two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches. Based on that information, is the claim volleyball match is in progress between ladies ""Entailment"", ""Contradiction"", or ""Inconclusive""?",58
130,1,"A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders. Based on that information, is the claim A mother and her son ride bikes with others down a street. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",65
131,1,"People are riding bicycles in the street, and they are all wearing helmets. Based on that information, is the claim A group of friends are biking through a street, all wearing their helmets ""Entailment"", ""Contradiction"", or ""Inconclusive""?",53
132,0,"A middle eastern marketplace. Based on that information, is the claim A middle easten store. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",35
133,0,"a woman in a black shirt looking at a bicycle. Based on that information, is the claim A woman sees a bicycle. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
134,0,"Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle. Based on that information, is the claim the men are musicians ""Entailment"", ""Contradiction"", or ""Inconclusive""?",49
135,2,"Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background. Based on that information, is the claim Young boys throwing a baseball at a baseball field. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",56
136,1,"A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose. Based on that information, is the claim The man is testing the bike. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",55
137,0,"A guy and a girl look down a mountain range. Based on that information, is the claim The people look at the mountains. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
138,2,"A man is sitting in the green chair, talking on the phone, and working on the laptop, and there is construction site next to his building. Based on that information, is the claim The man is pacing nervously. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",60
139,2,"A boy hits a tennis ball on a court. Based on that information, is the claim A girl is hitting the ball. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
140,1,"A golden retriever nurses puppies. Based on that information, is the claim A golden retriever nurses some other dogs puppies ""Entailment"", ""Contradiction"", or ""Inconclusive""?",40
141,1,"A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread. Based on that information, is the claim The young man is at his grandmothers house. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",55
142,1,"A black man wearing a down jacket with his arms spread and holding a pink comb. Based on that information, is the claim A man was wearing a jacket in winter. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",50
143,1,"A man in a brown jacket stands with his arms spread. Based on that information, is the claim The man pleads for mercy. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",43
144,1,"A man wearing a red vest is walking past a black and green fence. Based on that information, is the claim The man wearing the vest is walking down the street. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",50
145,0,"These girls are having a great time looking for seashells. Based on that information, is the claim The girls are happy. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
146,0,"A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him. Based on that information, is the claim A man is playing an instrument on the street near other people. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",62
147,0,"A standing man talks to a seated woman while on some sort of vehicle. Based on that information, is the claim Two people are talking. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
148,2,"A young boy with close-cropped hair, wearing a red robe, is holding a black kettle as someone is about to pour something in it. Based on that information, is the claim a small boy runs through the corn field ""Entailment"", ""Contradiction"", or ""Inconclusive""?",62
149,2,"Four people and a baby are crossing the street at a crosswalk. Based on that information, is the claim People and a baby riding the bus. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",46
150,0,"Two woman wearing dresses are standing outside on the grass while one of them is holding a cup and saucer. Based on that information, is the claim Two people are standing on the grass. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",54
151,1,"A woman leans over a small fence to take a picture of a yellow flower. Based on that information, is the claim The woman is a professional photographer ""Entailment"", ""Contradiction"", or ""Inconclusive""?",46
152,0,"A group of four children pose on a muddy beach, smiling and making faces. Based on that information, is the claim Four kids pose on a beach. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",47
153,0,"Several men at a bar watch a sports game on the television. Based on that information, is the claim Some men are watching TV at a bar. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",46
154,0,"Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background Based on that information, is the claim Two men are wearing lime green jackets. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",53
155,1,"A woman in a black outfit lies face first on a yoga mat; several paintings are hanged on the wall, and the sun shines through a large window near her. Based on that information, is the claim An artist relaxes in her studio. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",65
156,1,"Children in yellow sports uniforms climbing a tower. Based on that information, is the claim The children are martial arts students. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",40
157,1,"Some dogs are running on a deserted beach. Based on that information, is the claim They are in Hawaii. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",38
158,1,"A crowded city street with lots of pedestrians. Based on that information, is the claim There alot of motorcyclists on this road. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",43
159,1,"A woman wearing a bright orange blouse is weaving. Based on that information, is the claim A woman is wearing a bright orange blouse and a green hat. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",49
160,2,"A group of people are in a rowboat in the ocean surrounded by seagulls. Based on that information, is the claim A group of people are inside watching a hockey game. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",54
161,1,"A woman in a brown shirt is kneeling in the street. Based on that information, is the claim A woman is protesting in the street. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
162,1,"A man holding a baby who is petting a pony. Based on that information, is the claim A man who kidnap a baby is petting a pony. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",48
163,0,"Men sitting on the side of a brick road. Based on that information, is the claim me are sitting on the side of a road ""Entailment"", ""Contradiction"", or ""Inconclusive""?",43
164,0,"A black dog with a blue collar is jumping into the water. Based on that information, is the claim A dog is going to get wet. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
165,0,"A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy. Based on that information, is the claim A girl is standing. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
166,1,"many children play in the water. Based on that information, is the claim The children are at camp. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",37
167,2,"A group of kids is splashing in deep water nearby a rock formation. Based on that information, is the claim The kids are singing in a choir ""Entailment"", ""Contradiction"", or ""Inconclusive""?",46
168,2,"a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage. Based on that information, is the claim A woman climber attempts to pull herself up ""Entailment"", ""Contradiction"", or ""Inconclusive""?",54
169,0,"a man with a red headband climbing a rock cliff looming over greenery. Based on that information, is the claim A man is outdoors. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
